data_version,target,date,location,quantile,type,value
2020-12-25,? day R,2020-06-04,DE,0.25,quantile,0.952
2020-12-25,? day R,2020-06-05,DE,0.25,quantile,0.94
2020-12-25,? day R,2020-06-06,DE,0.25,quantile,0.93
2020-12-25,? day R,2020-06-07,DE,0.25,quantile,0.92
2020-12-25,? day R,2020-06-08,DE,0.25,quantile,0.915
2020-12-25,? day R,2020-06-09,DE,0.25,quantile,0.906
2020-12-25,? day R,2020-06-10,DE,0.25,quantile,0.9
2020-12-25,? day R,2020-06-11,DE,0.25,quantile,0.893
2020-12-25,? day R,2020-06-12,DE,0.25,quantile,0.889
2020-12-25,? day R,2020-06-13,DE,0.25,quantile,0.886
2020-12-25,? day R,2020-06-14,DE,0.25,quantile,0.886
2020-12-25,? day R,2020-06-15,DE,0.25,quantile,0.884
2020-12-25,? day R,2020-06-16,DE,0.25,quantile,0.884
2020-12-25,? day R,2020-06-17,DE,0.25,quantile,0.889
2020-12-25,? day R,2020-06-18,DE,0.25,quantile,0.892
2020-12-25,? day R,2020-06-19,DE,0.25,quantile,0.898
2020-12-25,? day R,2020-06-20,DE,0.25,quantile,0.906
2020-12-25,? day R,2020-06-21,DE,0.25,quantile,0.913
2020-12-25,? day R,2020-06-22,DE,0.25,quantile,0.921
2020-12-25,? day R,2020-06-23,DE,0.25,quantile,0.931
2020-12-25,? day R,2020-06-24,DE,0.25,quantile,0.945
2020-12-25,? day R,2020-06-25,DE,0.25,quantile,0.955
2020-12-25,? day R,2020-06-26,DE,0.25,quantile,0.967
2020-12-25,? day R,2020-06-27,DE,0.25,quantile,0.98
2020-12-25,? day R,2020-06-28,DE,0.25,quantile,0.989
2020-12-25,? day R,2020-06-29,DE,0.25,quantile,0.999
2020-12-25,? day R,2020-06-30,DE,0.25,quantile,1.01
2020-12-25,? day R,2020-07-01,DE,0.25,quantile,1.025
2020-12-25,? day R,2020-07-02,DE,0.25,quantile,1.036
2020-12-25,? day R,2020-07-03,DE,0.25,quantile,1.043
2020-12-25,? day R,2020-07-04,DE,0.25,quantile,1.058
2020-12-25,? day R,2020-07-05,DE,0.25,quantile,1.07
2020-12-25,? day R,2020-07-06,DE,0.25,quantile,1.076
2020-12-25,? day R,2020-07-07,DE,0.25,quantile,1.085
2020-12-25,? day R,2020-07-08,DE,0.25,quantile,1.091
2020-12-25,? day R,2020-07-09,DE,0.25,quantile,1.087
2020-12-25,? day R,2020-07-10,DE,0.25,quantile,1.096
2020-12-25,? day R,2020-07-11,DE,0.25,quantile,1.098
2020-12-25,? day R,2020-07-12,DE,0.25,quantile,1.097
2020-12-25,? day R,2020-07-13,DE,0.25,quantile,1.098
2020-12-25,? day R,2020-07-14,DE,0.25,quantile,1.096
2020-12-25,? day R,2020-07-15,DE,0.25,quantile,1.092
2020-12-25,? day R,2020-07-16,DE,0.25,quantile,1.096
2020-12-25,? day R,2020-07-17,DE,0.25,quantile,1.092
2020-12-25,? day R,2020-07-18,DE,0.25,quantile,1.088
2020-12-25,? day R,2020-07-19,DE,0.25,quantile,1.082
2020-12-25,? day R,2020-07-20,DE,0.25,quantile,1.078
2020-12-25,? day R,2020-07-21,DE,0.25,quantile,1.072
2020-12-25,? day R,2020-07-22,DE,0.25,quantile,1.064
2020-12-25,? day R,2020-07-23,DE,0.25,quantile,1.058
2020-12-25,? day R,2020-07-24,DE,0.25,quantile,1.049
2020-12-25,? day R,2020-07-25,DE,0.25,quantile,1.042
2020-12-25,? day R,2020-07-26,DE,0.25,quantile,1.037
2020-12-25,? day R,2020-07-27,DE,0.25,quantile,1.033
2020-12-25,? day R,2020-07-28,DE,0.25,quantile,1.029
2020-12-25,? day R,2020-07-29,DE,0.25,quantile,1.022
2020-12-25,? day R,2020-07-30,DE,0.25,quantile,1.013
2020-12-25,? day R,2020-07-31,DE,0.25,quantile,1.009
2020-12-25,? day R,2020-08-01,DE,0.25,quantile,0.998
2020-12-25,? day R,2020-08-02,DE,0.25,quantile,0.994
2020-12-25,? day R,2020-08-03,DE,0.25,quantile,0.985
2020-12-25,? day R,2020-08-04,DE,0.25,quantile,0.983
2020-12-25,? day R,2020-08-05,DE,0.25,quantile,0.973
2020-12-25,? day R,2020-08-06,DE,0.25,quantile,0.97
2020-12-25,? day R,2020-08-07,DE,0.25,quantile,0.967
2020-12-25,? day R,2020-08-08,DE,0.25,quantile,0.969
2020-12-25,? day R,2020-08-09,DE,0.25,quantile,0.962
2020-12-25,? day R,2020-08-10,DE,0.25,quantile,0.96
2020-12-25,? day R,2020-08-11,DE,0.25,quantile,0.959
2020-12-25,? day R,2020-08-12,DE,0.25,quantile,0.961
2020-12-25,? day R,2020-08-13,DE,0.25,quantile,0.957
2020-12-25,? day R,2020-08-14,DE,0.25,quantile,0.961
2020-12-25,? day R,2020-08-15,DE,0.25,quantile,0.965
2020-12-25,? day R,2020-08-16,DE,0.25,quantile,0.968
2020-12-25,? day R,2020-08-17,DE,0.25,quantile,0.972
2020-12-25,? day R,2020-08-18,DE,0.25,quantile,0.976
2020-12-25,? day R,2020-08-19,DE,0.25,quantile,0.982
2020-12-25,? day R,2020-08-20,DE,0.25,quantile,0.985
2020-12-25,? day R,2020-08-21,DE,0.25,quantile,0.991
2020-12-25,? day R,2020-08-22,DE,0.25,quantile,1.0
2020-12-25,? day R,2020-08-23,DE,0.25,quantile,1.007
2020-12-25,? day R,2020-08-24,DE,0.25,quantile,1.012
2020-12-25,? day R,2020-08-25,DE,0.25,quantile,1.017
2020-12-25,? day R,2020-08-26,DE,0.25,quantile,1.026
2020-12-25,? day R,2020-08-27,DE,0.25,quantile,1.031
2020-12-25,? day R,2020-08-28,DE,0.25,quantile,1.038
2020-12-25,? day R,2020-08-29,DE,0.25,quantile,1.041
2020-12-25,? day R,2020-08-30,DE,0.25,quantile,1.043
2020-12-25,? day R,2020-08-31,DE,0.25,quantile,1.045
2020-12-25,? day R,2020-09-01,DE,0.25,quantile,1.057
2020-12-25,? day R,2020-09-02,DE,0.25,quantile,1.064
2020-12-25,? day R,2020-09-03,DE,0.25,quantile,1.072
2020-12-25,? day R,2020-09-04,DE,0.25,quantile,1.081
2020-12-25,? day R,2020-09-05,DE,0.25,quantile,1.086
2020-12-25,? day R,2020-09-06,DE,0.25,quantile,1.092
2020-12-25,? day R,2020-09-07,DE,0.25,quantile,1.097
2020-12-25,? day R,2020-09-08,DE,0.25,quantile,1.106
2020-12-25,? day R,2020-09-09,DE,0.25,quantile,1.12
2020-12-25,? day R,2020-09-10,DE,0.25,quantile,1.129
2020-12-25,? day R,2020-09-11,DE,0.25,quantile,1.138
2020-12-25,? day R,2020-09-12,DE,0.25,quantile,1.149
2020-12-25,? day R,2020-09-13,DE,0.25,quantile,1.159
2020-12-25,? day R,2020-09-14,DE,0.25,quantile,1.166
2020-12-25,? day R,2020-09-15,DE,0.25,quantile,1.18
2020-12-25,? day R,2020-09-16,DE,0.25,quantile,1.187
2020-12-25,? day R,2020-09-17,DE,0.25,quantile,1.196
2020-12-25,? day R,2020-09-18,DE,0.25,quantile,1.204
2020-12-25,? day R,2020-09-19,DE,0.25,quantile,1.213
2020-12-25,? day R,2020-09-20,DE,0.25,quantile,1.223
2020-12-25,? day R,2020-09-21,DE,0.25,quantile,1.236
2020-12-25,? day R,2020-09-22,DE,0.25,quantile,1.245
2020-12-25,? day R,2020-09-23,DE,0.25,quantile,1.254
2020-12-25,? day R,2020-09-24,DE,0.25,quantile,1.257
2020-12-25,? day R,2020-09-25,DE,0.25,quantile,1.264
2020-12-25,? day R,2020-09-26,DE,0.25,quantile,1.27
2020-12-25,? day R,2020-09-27,DE,0.25,quantile,1.28
2020-12-25,? day R,2020-09-28,DE,0.25,quantile,1.28
2020-12-25,? day R,2020-09-29,DE,0.25,quantile,1.287
2020-12-25,? day R,2020-09-30,DE,0.25,quantile,1.286
2020-12-25,? day R,2020-10-01,DE,0.25,quantile,1.283
2020-12-25,? day R,2020-10-02,DE,0.25,quantile,1.282
2020-12-25,? day R,2020-10-03,DE,0.25,quantile,1.28
2020-12-25,? day R,2020-10-04,DE,0.25,quantile,1.278
2020-12-25,? day R,2020-10-05,DE,0.25,quantile,1.268
2020-12-25,? day R,2020-10-06,DE,0.25,quantile,1.262
2020-12-25,? day R,2020-10-07,DE,0.25,quantile,1.255
2020-12-25,? day R,2020-10-08,DE,0.25,quantile,1.245
2020-12-25,? day R,2020-10-09,DE,0.25,quantile,1.233
2020-12-25,? day R,2020-10-10,DE,0.25,quantile,1.226
2020-12-25,? day R,2020-10-11,DE,0.25,quantile,1.212
2020-12-25,? day R,2020-10-12,DE,0.25,quantile,1.201
2020-12-25,? day R,2020-10-13,DE,0.25,quantile,1.192
2020-12-25,? day R,2020-10-14,DE,0.25,quantile,1.177
2020-12-25,? day R,2020-10-15,DE,0.25,quantile,1.163
2020-12-25,? day R,2020-10-16,DE,0.25,quantile,1.151
2020-12-25,? day R,2020-10-17,DE,0.25,quantile,1.137
2020-12-25,? day R,2020-10-18,DE,0.25,quantile,1.126
2020-12-25,? day R,2020-10-19,DE,0.25,quantile,1.115
2020-12-25,? day R,2020-10-20,DE,0.25,quantile,1.108
2020-12-25,? day R,2020-10-21,DE,0.25,quantile,1.095
2020-12-25,? day R,2020-10-22,DE,0.25,quantile,1.083
2020-12-25,? day R,2020-10-23,DE,0.25,quantile,1.073
2020-12-25,? day R,2020-10-24,DE,0.25,quantile,1.063
2020-12-25,? day R,2020-10-25,DE,0.25,quantile,1.054
2020-12-25,? day R,2020-10-26,DE,0.25,quantile,1.047
2020-12-25,? day R,2020-10-27,DE,0.25,quantile,1.04
2020-12-25,? day R,2020-10-28,DE,0.25,quantile,1.032
2020-12-25,? day R,2020-10-29,DE,0.25,quantile,1.02
2020-12-25,? day R,2020-10-30,DE,0.25,quantile,1.012
2020-12-25,? day R,2020-10-31,DE,0.25,quantile,1.008
2020-12-25,? day R,2020-11-01,DE,0.25,quantile,1.001
2020-12-25,? day R,2020-11-02,DE,0.25,quantile,0.995
2020-12-25,? day R,2020-11-03,DE,0.25,quantile,0.996
2020-12-25,? day R,2020-11-04,DE,0.25,quantile,0.993
2020-12-25,? day R,2020-11-05,DE,0.25,quantile,0.992
2020-12-25,? day R,2020-11-06,DE,0.25,quantile,0.991
2020-12-25,? day R,2020-11-07,DE,0.25,quantile,0.987
2020-12-25,? day R,2020-11-08,DE,0.25,quantile,0.988
2020-12-25,? day R,2020-11-09,DE,0.25,quantile,0.988
2020-12-25,? day R,2020-11-10,DE,0.25,quantile,0.988
2020-12-25,? day R,2020-11-11,DE,0.25,quantile,0.987
2020-12-25,? day R,2020-11-12,DE,0.25,quantile,0.986
2020-12-25,? day R,2020-11-13,DE,0.25,quantile,0.991
2020-12-25,? day R,2020-11-14,DE,0.25,quantile,0.992
2020-12-25,? day R,2020-11-15,DE,0.25,quantile,0.992
2020-12-25,? day R,2020-11-16,DE,0.25,quantile,0.996
2020-12-25,? day R,2020-11-17,DE,0.25,quantile,0.992
2020-12-25,? day R,2020-11-18,DE,0.25,quantile,0.996
2020-12-25,? day R,2020-11-19,DE,0.25,quantile,0.996
2020-12-25,? day R,2020-11-20,DE,0.25,quantile,1.0
2020-12-25,? day R,2020-11-21,DE,0.25,quantile,1.0
2020-12-25,? day R,2020-11-22,DE,0.25,quantile,1.002
2020-12-25,? day R,2020-11-23,DE,0.25,quantile,1.002
2020-12-25,? day R,2020-11-24,DE,0.25,quantile,1.002
2020-12-25,? day R,2020-11-25,DE,0.25,quantile,0.996
2020-12-25,? day R,2020-11-26,DE,0.25,quantile,0.996
2020-12-25,? day R,2020-11-27,DE,0.25,quantile,0.992
2020-12-25,? day R,2020-11-28,DE,0.25,quantile,0.993
2020-12-25,? day R,2020-11-29,DE,0.25,quantile,0.987
2020-12-25,? day R,2020-11-30,DE,0.25,quantile,0.984
2020-12-25,? day R,2020-12-01,DE,0.25,quantile,0.978
2020-12-25,? day R,2020-12-02,DE,0.25,quantile,0.97
2020-12-25,? day R,2020-12-03,DE,0.25,quantile,0.963
2020-12-25,? day R,2020-12-04,DE,0.25,quantile,0.961
2020-12-25,? day R,2020-12-05,DE,0.25,quantile,0.959
2020-12-25,? day R,2020-12-06,DE,0.25,quantile,0.957
2020-12-25,? day R,2020-12-07,DE,0.25,quantile,0.952
2020-12-25,? day R,2020-12-08,DE,0.25,quantile,0.946
2020-12-25,? day R,2020-12-09,DE,0.25,quantile,0.942
2020-12-25,? day R,2020-12-10,DE,0.25,quantile,0.935
2020-12-25,? day R,2020-12-11,DE,0.25,quantile,0.923
2020-12-25,? day R,2020-12-12,DE,0.25,quantile,0.92
2020-12-25,? day R,2020-12-13,DE,0.25,quantile,0.918
2020-12-25,? day R,2020-12-14,DE,0.25,quantile,0.914
2020-12-25,? day R,2020-12-15,DE,0.25,quantile,0.908
2020-12-25,? day R,2020-12-16,DE,0.25,quantile,0.9
2020-12-25,? day R,2020-12-17,DE,0.25,quantile,0.895
2020-12-25,? day R,2020-12-18,DE,0.25,quantile,0.898
2020-12-25,? day R,2020-12-19,DE,0.25,quantile,0.888
2020-12-25,? day R,2020-12-20,DE,0.25,quantile,0.888
2020-12-25,? day R,2020-12-21,DE,0.25,quantile,0.889
2020-12-25,? day R,2020-12-22,DE,0.25,quantile,0.888
2020-12-25,? day R,2020-12-23,DE,0.25,quantile,0.888
2020-12-25,? day R,2020-12-24,DE,0.25,quantile,0.884
2020-12-25,? day R,2020-12-25,DE,0.25,quantile,0.89
2020-12-25,? day R,2020-12-26,DE,0.25,quantile,0.882
2020-12-25,? day R,2020-12-27,DE,0.25,quantile,0.873
2020-12-25,? day R,2020-12-28,DE,0.25,quantile,0.876
2020-12-25,? day R,2020-12-29,DE,0.25,quantile,0.875
2020-12-25,? day R,2020-12-30,DE,0.25,quantile,0.867
2020-12-25,? day R,2020-12-31,DE,0.25,quantile,0.874
2020-12-25,? day R,2021-01-01,DE,0.25,quantile,0.869
2020-12-25,? day R,2021-01-02,DE,0.25,quantile,0.873
2020-12-25,? day R,2020-02-20,DE,0.5,point,2.416
2020-12-25,? day R,2020-02-21,DE,0.5,point,2.399
2020-12-25,? day R,2020-02-22,DE,0.5,point,2.392
2020-12-25,? day R,2020-02-23,DE,0.5,point,2.372
2020-12-25,? day R,2020-02-24,DE,0.5,point,2.362
2020-12-25,? day R,2020-02-25,DE,0.5,point,2.338
2020-12-25,? day R,2020-02-26,DE,0.5,point,2.302
2020-12-25,? day R,2020-02-27,DE,0.5,point,2.258
2020-12-25,? day R,2020-02-28,DE,0.5,point,2.214
2020-12-25,? day R,2020-02-29,DE,0.5,point,2.156
2020-12-25,? day R,2020-03-01,DE,0.5,point,2.094
2020-12-25,? day R,2020-03-02,DE,0.5,point,2.025
2020-12-25,? day R,2020-03-03,DE,0.5,point,1.954
2020-12-25,? day R,2020-03-04,DE,0.5,point,1.871
2020-12-25,? day R,2020-03-05,DE,0.5,point,1.795
2020-12-25,? day R,2020-03-06,DE,0.5,point,1.72
2020-12-25,? day R,2020-03-07,DE,0.5,point,1.647
2020-12-25,? day R,2020-03-08,DE,0.5,point,1.569
2020-12-25,? day R,2020-03-09,DE,0.5,point,1.495
2020-12-25,? day R,2020-03-10,DE,0.5,point,1.432
2020-12-25,? day R,2020-03-11,DE,0.5,point,1.369
2020-12-25,? day R,2020-03-12,DE,0.5,point,1.302
2020-12-25,? day R,2020-03-13,DE,0.5,point,1.241
2020-12-25,? day R,2020-03-14,DE,0.5,point,1.188
2020-12-25,? day R,2020-03-15,DE,0.5,point,1.136
2020-12-25,? day R,2020-03-16,DE,0.5,point,1.089
2020-12-25,? day R,2020-03-17,DE,0.5,point,1.041
2020-12-25,? day R,2020-03-18,DE,0.5,point,1.001
2020-12-25,? day R,2020-03-19,DE,0.5,point,0.968
2020-12-25,? day R,2020-03-20,DE,0.5,point,0.932
2020-12-25,? day R,2020-03-21,DE,0.5,point,0.902
2020-12-25,? day R,2020-03-22,DE,0.5,point,0.871
2020-12-25,? day R,2020-03-23,DE,0.5,point,0.848
2020-12-25,? day R,2020-03-24,DE,0.5,point,0.825
2020-12-25,? day R,2020-03-25,DE,0.5,point,0.806
2020-12-25,? day R,2020-03-26,DE,0.5,point,0.788
2020-12-25,? day R,2020-03-27,DE,0.5,point,0.768
2020-12-25,? day R,2020-03-28,DE,0.5,point,0.754
2020-12-25,? day R,2020-03-29,DE,0.5,point,0.744
2020-12-25,? day R,2020-03-30,DE,0.5,point,0.731
2020-12-25,? day R,2020-03-31,DE,0.5,point,0.722
2020-12-25,? day R,2020-04-01,DE,0.5,point,0.715
2020-12-25,? day R,2020-04-02,DE,0.5,point,0.706
2020-12-25,? day R,2020-04-03,DE,0.5,point,0.702
2020-12-25,? day R,2020-04-04,DE,0.5,point,0.696
2020-12-25,? day R,2020-04-05,DE,0.5,point,0.69
2020-12-25,? day R,2020-04-06,DE,0.5,point,0.689
2020-12-25,? day R,2020-04-07,DE,0.5,point,0.686
2020-12-25,? day R,2020-04-08,DE,0.5,point,0.686
2020-12-25,? day R,2020-04-09,DE,0.5,point,0.686
2020-12-25,? day R,2020-04-10,DE,0.5,point,0.688
2020-12-25,? day R,2020-04-11,DE,0.5,point,0.69
2020-12-25,? day R,2020-04-12,DE,0.5,point,0.693
2020-12-25,? day R,2020-04-13,DE,0.5,point,0.694
2020-12-25,? day R,2020-04-14,DE,0.5,point,0.7
2020-12-25,? day R,2020-04-15,DE,0.5,point,0.706
2020-12-25,? day R,2020-04-16,DE,0.5,point,0.711
2020-12-25,? day R,2020-04-17,DE,0.5,point,0.715
2020-12-25,? day R,2020-04-18,DE,0.5,point,0.72
2020-12-25,? day R,2020-04-19,DE,0.5,point,0.726
2020-12-25,? day R,2020-04-20,DE,0.5,point,0.734
2020-12-25,? day R,2020-04-21,DE,0.5,point,0.741
2020-12-25,? day R,2020-04-22,DE,0.5,point,0.748
2020-12-25,? day R,2020-04-23,DE,0.5,point,0.758
2020-12-25,? day R,2020-04-24,DE,0.5,point,0.764
2020-12-25,? day R,2020-04-25,DE,0.5,point,0.773
2020-12-25,? day R,2020-04-26,DE,0.5,point,0.781
2020-12-25,? day R,2020-04-27,DE,0.5,point,0.791
2020-12-25,? day R,2020-04-28,DE,0.5,point,0.797
2020-12-25,? day R,2020-04-29,DE,0.5,point,0.804
2020-12-25,? day R,2020-04-30,DE,0.5,point,0.811
2020-12-25,? day R,2020-05-01,DE,0.5,point,0.82
2020-12-25,? day R,2020-05-02,DE,0.5,point,0.827
2020-12-25,? day R,2020-05-03,DE,0.5,point,0.837
2020-12-25,? day R,2020-05-04,DE,0.5,point,0.844
2020-12-25,? day R,2020-05-05,DE,0.5,point,0.852
2020-12-25,? day R,2020-05-06,DE,0.5,point,0.861
2020-12-25,? day R,2020-05-07,DE,0.5,point,0.871
2020-12-25,? day R,2020-05-08,DE,0.5,point,0.879
2020-12-25,? day R,2020-05-09,DE,0.5,point,0.89
2020-12-25,? day R,2020-05-10,DE,0.5,point,0.898
2020-12-25,? day R,2020-05-11,DE,0.5,point,0.906
2020-12-25,? day R,2020-05-12,DE,0.5,point,0.917
2020-12-25,? day R,2020-05-13,DE,0.5,point,0.924
2020-12-25,? day R,2020-05-14,DE,0.5,point,0.935
2020-12-25,? day R,2020-05-15,DE,0.5,point,0.946
2020-12-25,? day R,2020-05-16,DE,0.5,point,0.955
2020-12-25,? day R,2020-05-17,DE,0.5,point,0.963
2020-12-25,? day R,2020-05-18,DE,0.5,point,0.974
2020-12-25,? day R,2020-05-19,DE,0.5,point,0.982
2020-12-25,? day R,2020-05-20,DE,0.5,point,0.989
2020-12-25,? day R,2020-05-21,DE,0.5,point,0.997
2020-12-25,? day R,2020-05-22,DE,0.5,point,1.004
2020-12-25,? day R,2020-05-23,DE,0.5,point,1.008
2020-12-25,? day R,2020-05-24,DE,0.5,point,1.013
2020-12-25,? day R,2020-05-25,DE,0.5,point,1.015
2020-12-25,? day R,2020-05-26,DE,0.5,point,1.018
2020-12-25,? day R,2020-05-27,DE,0.5,point,1.024
2020-12-25,? day R,2020-05-28,DE,0.5,point,1.026
2020-12-25,? day R,2020-05-29,DE,0.5,point,1.023
2020-12-25,? day R,2020-05-30,DE,0.5,point,1.023
2020-12-25,? day R,2020-05-31,DE,0.5,point,1.017
2020-12-25,? day R,2020-06-01,DE,0.5,point,1.013
2020-12-25,? day R,2020-06-02,DE,0.5,point,1.008
2020-12-25,? day R,2020-06-03,DE,0.5,point,1.003
2020-12-25,? day R,2020-06-04,DE,0.5,point,0.993
2020-12-25,? day R,2020-06-05,DE,0.5,point,0.98
2020-12-25,? day R,2020-06-06,DE,0.5,point,0.97
2020-12-25,? day R,2020-06-07,DE,0.5,point,0.963
2020-12-25,? day R,2020-06-08,DE,0.5,point,0.95
2020-12-25,? day R,2020-06-09,DE,0.5,point,0.941
2020-12-25,? day R,2020-06-10,DE,0.5,point,0.937
2020-12-25,? day R,2020-06-11,DE,0.5,point,0.933
2020-12-25,? day R,2020-06-12,DE,0.5,point,0.928
2020-12-25,? day R,2020-06-13,DE,0.5,point,0.924
2020-12-25,? day R,2020-06-14,DE,0.5,point,0.92
2020-12-25,? day R,2020-06-15,DE,0.5,point,0.922
2020-12-25,? day R,2020-06-16,DE,0.5,point,0.921
2020-12-25,? day R,2020-06-17,DE,0.5,point,0.925
2020-12-25,? day R,2020-06-18,DE,0.5,point,0.93
2020-12-25,? day R,2020-06-19,DE,0.5,point,0.937
2020-12-25,? day R,2020-06-20,DE,0.5,point,0.945
2020-12-25,? day R,2020-06-21,DE,0.5,point,0.95
2020-12-25,? day R,2020-06-22,DE,0.5,point,0.962
2020-12-25,? day R,2020-06-23,DE,0.5,point,0.97
2020-12-25,? day R,2020-06-24,DE,0.5,point,0.983
2020-12-25,? day R,2020-06-25,DE,0.5,point,0.994
2020-12-25,? day R,2020-06-26,DE,0.5,point,1.008
2020-12-25,? day R,2020-06-27,DE,0.5,point,1.021
2020-12-25,? day R,2020-06-28,DE,0.5,point,1.027
2020-12-25,? day R,2020-06-29,DE,0.5,point,1.047
2020-12-25,? day R,2020-06-30,DE,0.5,point,1.059
2020-12-25,? day R,2020-07-01,DE,0.5,point,1.067
2020-12-25,? day R,2020-07-02,DE,0.5,point,1.078
2020-12-25,? day R,2020-07-03,DE,0.5,point,1.089
2020-12-25,? day R,2020-07-04,DE,0.5,point,1.101
2020-12-25,? day R,2020-07-05,DE,0.5,point,1.11
2020-12-25,? day R,2020-07-06,DE,0.5,point,1.124
2020-12-25,? day R,2020-07-07,DE,0.5,point,1.128
2020-12-25,? day R,2020-07-08,DE,0.5,point,1.136
2020-12-25,? day R,2020-07-09,DE,0.5,point,1.14
2020-12-25,? day R,2020-07-10,DE,0.5,point,1.144
2020-12-25,? day R,2020-07-11,DE,0.5,point,1.143
2020-12-25,? day R,2020-07-12,DE,0.5,point,1.144
2020-12-25,? day R,2020-07-13,DE,0.5,point,1.146
2020-12-25,? day R,2020-07-14,DE,0.5,point,1.144
2020-12-25,? day R,2020-07-15,DE,0.5,point,1.143
2020-12-25,? day R,2020-07-16,DE,0.5,point,1.139
2020-12-25,? day R,2020-07-17,DE,0.5,point,1.139
2020-12-25,? day R,2020-07-18,DE,0.5,point,1.132
2020-12-25,? day R,2020-07-19,DE,0.5,point,1.129
2020-12-25,? day R,2020-07-20,DE,0.5,point,1.122
2020-12-25,? day R,2020-07-21,DE,0.5,point,1.117
2020-12-25,? day R,2020-07-22,DE,0.5,point,1.109
2020-12-25,? day R,2020-07-23,DE,0.5,point,1.103
2020-12-25,? day R,2020-07-24,DE,0.5,point,1.099
2020-12-25,? day R,2020-07-25,DE,0.5,point,1.092
2020-12-25,? day R,2020-07-26,DE,0.5,point,1.083
2020-12-25,? day R,2020-07-27,DE,0.5,point,1.078
2020-12-25,? day R,2020-07-28,DE,0.5,point,1.071
2020-12-25,? day R,2020-07-29,DE,0.5,point,1.067
2020-12-25,? day R,2020-07-30,DE,0.5,point,1.057
2020-12-25,? day R,2020-07-31,DE,0.5,point,1.049
2020-12-25,? day R,2020-08-01,DE,0.5,point,1.041
2020-12-25,? day R,2020-08-02,DE,0.5,point,1.034
2020-12-25,? day R,2020-08-03,DE,0.5,point,1.029
2020-12-25,? day R,2020-08-04,DE,0.5,point,1.021
2020-12-25,? day R,2020-08-05,DE,0.5,point,1.015
2020-12-25,? day R,2020-08-06,DE,0.5,point,1.009
2020-12-25,? day R,2020-08-07,DE,0.5,point,1.006
2020-12-25,? day R,2020-08-08,DE,0.5,point,1.007
2020-12-25,? day R,2020-08-09,DE,0.5,point,1.002
2020-12-25,? day R,2020-08-10,DE,0.5,point,0.999
2020-12-25,? day R,2020-08-11,DE,0.5,point,0.997
2020-12-25,? day R,2020-08-12,DE,0.5,point,0.998
2020-12-25,? day R,2020-08-13,DE,0.5,point,1.0
2020-12-25,? day R,2020-08-14,DE,0.5,point,1.004
2020-12-25,? day R,2020-08-15,DE,0.5,point,1.003
2020-12-25,? day R,2020-08-16,DE,0.5,point,1.008
2020-12-25,? day R,2020-08-17,DE,0.5,point,1.014
2020-12-25,? day R,2020-08-18,DE,0.5,point,1.018
2020-12-25,? day R,2020-08-19,DE,0.5,point,1.022
2020-12-25,? day R,2020-08-20,DE,0.5,point,1.031
2020-12-25,? day R,2020-08-21,DE,0.5,point,1.034
2020-12-25,? day R,2020-08-22,DE,0.5,point,1.038
2020-12-25,? day R,2020-08-23,DE,0.5,point,1.044
2020-12-25,? day R,2020-08-24,DE,0.5,point,1.053
2020-12-25,? day R,2020-08-25,DE,0.5,point,1.058
2020-12-25,? day R,2020-08-26,DE,0.5,point,1.069
2020-12-25,? day R,2020-08-27,DE,0.5,point,1.073
2020-12-25,? day R,2020-08-28,DE,0.5,point,1.08
2020-12-25,? day R,2020-08-29,DE,0.5,point,1.083
2020-12-25,? day R,2020-08-30,DE,0.5,point,1.089
2020-12-25,? day R,2020-08-31,DE,0.5,point,1.099
2020-12-25,? day R,2020-09-01,DE,0.5,point,1.106
2020-12-25,? day R,2020-09-02,DE,0.5,point,1.109
2020-12-25,? day R,2020-09-03,DE,0.5,point,1.114
2020-12-25,? day R,2020-09-04,DE,0.5,point,1.127
2020-12-25,? day R,2020-09-05,DE,0.5,point,1.137
2020-12-25,? day R,2020-09-06,DE,0.5,point,1.143
2020-12-25,? day R,2020-09-07,DE,0.5,point,1.149
2020-12-25,? day R,2020-09-08,DE,0.5,point,1.155
2020-12-25,? day R,2020-09-09,DE,0.5,point,1.166
2020-12-25,? day R,2020-09-10,DE,0.5,point,1.175
2020-12-25,? day R,2020-09-11,DE,0.5,point,1.186
2020-12-25,? day R,2020-09-12,DE,0.5,point,1.194
2020-12-25,? day R,2020-09-13,DE,0.5,point,1.205
2020-12-25,? day R,2020-09-14,DE,0.5,point,1.216
2020-12-25,? day R,2020-09-15,DE,0.5,point,1.224
2020-12-25,? day R,2020-09-16,DE,0.5,point,1.235
2020-12-25,? day R,2020-09-17,DE,0.5,point,1.243
2020-12-25,? day R,2020-09-18,DE,0.5,point,1.251
2020-12-25,? day R,2020-09-19,DE,0.5,point,1.261
2020-12-25,? day R,2020-09-20,DE,0.5,point,1.274
2020-12-25,? day R,2020-09-21,DE,0.5,point,1.283
2020-12-25,? day R,2020-09-22,DE,0.5,point,1.294
2020-12-25,? day R,2020-09-23,DE,0.5,point,1.303
2020-12-25,? day R,2020-09-24,DE,0.5,point,1.312
2020-12-25,? day R,2020-09-25,DE,0.5,point,1.319
2020-12-25,? day R,2020-09-26,DE,0.5,point,1.324
2020-12-25,? day R,2020-09-27,DE,0.5,point,1.328
2020-12-25,? day R,2020-09-28,DE,0.5,point,1.329
2020-12-25,? day R,2020-09-29,DE,0.5,point,1.338
2020-12-25,? day R,2020-09-30,DE,0.5,point,1.339
